identifier,nz_company_canterbury_exploration_fracking_gas_oil,earthquake_canterbury_talks_commission_speaks_economic_earthquakes,christchurch_earthquake_high_house_party_including_damaged,mayor_christchurch_bob_parker_architect_river_writer,quake_christchurch_earthquake_talks_experience_feb_nz,christchurch_earthquake_city_talks_business_recovery_earthquakes,earthquake_earthquakes_talks_canterbury_university_community_lessons,nz_christchurch_civil_earthquake_national_defence_approach,earthquake_buildings_christchurch_city_building_heritage_notes,christchurch_earthquake_feb_talks_includes_sep_dunedin,christchurch_earthquake_city_people_residents_describes_quake,insurance_christchurch_earthquakes_rebuilding_executive_companies_nz
INNZ-47807,0.00131233595800525,0.00131233595800525,0.985564304461942,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525
INNZ-47947,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.655228758169935,0.32843137254902
INNZ-47993,0.000825082508250825,0.000825082508250825,0.0833333333333333,0.000825082508250825,0.000825082508250825,0.000825082508250825,0.000825082508250825,0.000825082508250825,0.000825082508250825,0.330858085808581,0.000825082508250825,0.578382838283828
INNZ-48131,0.000620347394540943,0.248759305210918,0.000620347394540943,0.434863523573201,0.000620347394540943,0.0626550868486352,0.000620347394540943,0.248759305210918,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.000620347394540943
INNZ-48154,0.000368731563421829,0.000368731563421829,0.000368731563421829,0.0925516224188791,0.000368731563421829,0.276917404129794,0.000368731563421829,0.479719764011799,0.000368731563421829,0.000368731563421829,0.0556784660766962,0.0925516224188791
INNZ-48255,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.595899470899471,0.331349206349206,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.0667989417989418,0.000661375661375661,0.000661375661375661
INNZ-48542,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.576335877862595,0.00381679389312977,0.385496183206107,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977
INNZ-48689,0.00381679389312977,0.00381679389312977,0.194656488549618,0.00381679389312977,0.576335877862595,0.194656488549618,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977
INNZ-48724,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.263779527559055,0.723097112860892,0.00131233595800525,0.00131233595800525
INNZ-49051,0.000825082508250825,0.000825082508250825,0.000825082508250825,0.000825082508250825,0.124587458745875,0.495874587458746,0.000825082508250825,0.000825082508250825,0.28960396039604,0.000825082508250825,0.000825082508250825,0.0833333333333333
