term,πολύς_ἄλλος_πόλις_ἱερός_οἰκέω_πρότερος_γίγνομαι,σύμμαχος_σπονδή_πρός_ποιέω_σφεῖς_ἀθηναίους_γίγνομαι,ἀθηναῖοι_ἀναχωρέω_ἀθηναίων_ἵστημι_τις_πολύς_μάχη,γίγνομαι_πόλεμος_δ_τελευτάω_θέρος_χειμών_ἔτος,τις_ὅς_ἄλλος_πολύς_πρός_ἔχω_γίγνομαι,ναῦς_ὁπλίτης_ἄλλος_σύμμαχος_δ_ἀθηναίων_στρατία,τις_δῆμος_πολύς_ὡς_ἄλλος_πόλις_σφεῖς,ναῦς_πρός_θάλασσα_τεῖχος_πολύς_τις_μέγας,ναῦς_πλέω_ὡς_ὅς_ἄλλος_ποιέω_ἀφικνέομαι,βασιλεύς_ἔχω_σύμμαχος_σφεῖς_πρότερος_αἱρέω_ἀθηναίων,ὡς_πολύς_χωρέω_δ_ἄλλος_ἦδος_πρός,ὡς_λέγω_ὅστις_σφεῖς_ἄλλος_τις_πρότερος
λακεδαιμονίων,0.000229307267241883,0.0117915557246101,0.00165467349059145,0.0123763548976358,0.000691167296138006,3.9610392182493e-06,5.38187063059378e-06,2.76694824976688e-06,3.42455198298683e-06,0.00463990316723825,0.00144312994193432,0.00089209238639159
ὁράω,4.49622092631143e-06,3.14357657280995e-06,5.49725412156628e-06,5.26429387394122e-06,0.00258950443908883,3.9610392182493e-06,5.38187063059378e-06,0.00373814708543506,0.00137324534517772,5.45229514364072e-06,0.00550275137568784,0.00622686413225492
γνώμη,4.49622092631143e-06,3.14357657280995e-06,0.00110494807843482,0.00132133776235925,0.00474670573789659,3.9610392182493e-06,5.38187063059378e-06,2.76694824976688e-06,3.42455198298683e-06,5.45229514364072e-06,0.000657396761207829,0.00756055706872075
ἡμέρα,4.49622092631143e-06,3.14357657280995e-06,0.0046781632574529,0.00579598755520928,0.000604879244185695,0.00396500025746755,5.38187063059378e-06,0.00553666344778354,0.00479779732816454,5.45229514364072e-06,0.00170504100217648,0.00311491394716798
κρατέω,0.0024774177303976,3.14357657280995e-06,0.0118245936154891,5.26429387394122e-06,0.00228749625725575,3.9610392182493e-06,5.38187063059378e-06,0.00401484191041175,0.000345879750281669,0.00354944413851011,0.00314555183350838,2.96376208103518e-06
γαῖα,0.00607439447144675,0.00298954132074226,0.00605247678784447,0.00948099326696814,8.62880519523103e-07,0.0019844806483429,0.000543568933689972,0.00484492638534182,0.00257183853922311,0.00164114083823586,2.61911060242163e-06,2.96376208103518e-06
ὅπως,4.49622092631143e-06,0.00298954132074226,5.49725412156628e-06,5.26429387394122e-06,0.00138147171175649,0.00436110417929248,5.38187063059378e-06,0.00553666344778354,0.0046265697290152,0.00191375559541789,0.00144312994193432,0.00207759721880566
στρατία,4.49622092631143e-06,3.14357657280995e-06,0.00357871243313965,5.26429387394122e-06,8.62880519523103e-07,0.0120851306548786,5.38187063059378e-06,2.76694824976688e-06,0.00188692814262574,0.00818389501060472,0.00393128501423487,0.00385585446742677
ὥσπερ,0.0024774177303976,0.00204646834889928,5.49725412156628e-06,0.00526955816781516,0.00263264846506499,0.0013903247656055,5.38187063059378e-06,0.00180128331059824,0.00240061094007376,5.45229514364072e-06,0.00249077418290297,0.00178122101070214
τοιοῦτος,0.00112855145250417,3.14357657280995e-06,0.00220439890274808,0.00158455245605631,0.00327980885470731,3.9610392182493e-06,5.38187063059378e-06,0.000279461773226455,3.42455198298683e-06,5.45229514364072e-06,0.00249077418290297,0.00711599275656547
