identifier,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14
DCDL-0017160,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.116763005780347,0.116763005780347,0.00115606936416185,0.00115606936416185,0.521387283236994,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.232369942196532
DCDL-0017208,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.697587131367292,0.241823056300268,0.0541554959785523,0.000536193029490617,0.000536193029490617,0.000536193029490617
DCDL-0017164,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.868208092485549,0.00115606936416185,0.116763005780347,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185
DCDL-0017230,0.000355239786856128,0.000355239786856128,0.000355239786856128,0.000355239786856128,0.000355239786856128,0.781882770870338,0.000355239786856128,0.213499111900533,0.000355239786856128,0.000355239786856128,0.000355239786856128,0.000355239786856128,0.000355239786856128,0.000355239786856128,0.000355239786856128
DCDL-0017307,0.000321027287319422,0.000321027287319422,0.000321027287319422,0.000321027287319422,0.000321027287319422,0.770786516853933,0.000321027287319422,0.128731942215088,0.000321027287319422,0.0645264847512038,0.000321027287319422,0.000321027287319422,0.0324237560192616,0.000321027287319422,0.000321027287319422
DCDL-0017217,0.000600600600600601,0.511111111111111,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.360960960960961,0.120720720720721,0.000600600600600601,0.000600600600600601,0.000600600600600601
DCDL-0017170,0.000985221674876847,0.0502463054187192,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.789162561576355,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.148768472906404,0.000985221674876847
DCDL-0017157,0.000790513833992095,0.0403162055335968,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.949407114624506,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095
DCDL-0017207,0.000349040139616056,0.000349040139616056,0.000349040139616056,0.000349040139616056,0.0352530541012216,0.000349040139616056,0.000349040139616056,0.000349040139616056,0.0352530541012216,0.000349040139616056,0.000349040139616056,0.000349040139616056,0.000349040139616056,0.000349040139616056,0.925305410122164
DCDL-0017246,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.114828897338403,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.304942965779468,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.571102661596958
DCDL-0017223,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.15187969924812,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.678195488721805,0.00150375939849624,0.00150375939849624,0.15187969924812
DCDL-0017166,0.000484261501210654,0.000484261501210654,0.000484261501210654,0.000484261501210654,0.000484261501210654,0.000484261501210654,0.000484261501210654,0.993220338983051,0.000484261501210654,0.000484261501210654,0.000484261501210654,0.000484261501210654,0.000484261501210654,0.000484261501210654,0.000484261501210654
