term,locum_pars_flumen_oppidum_omnis_collis_pedum,res_omnis_consilium_cognosco_neo_video_habeo,omnis_res_hostis_magnus_locum_tantus_noster,finis_omnis_magnus_ager_oppidum_transeo_frumentum,mille_passus_circiter_dies_omnis_numerus_ito,navis_magnus_utor_omnis_pars_reliquus_tempus,hostis_noster_legio_proelium_pars_locum_magnus,legio_pars_mitto_caesar_lego_omnis_duo,castra_hostis_locum_caesar_equito_castrum_copia,facio_mitto_lego_impero_civitas_caesarem_res,oppidum_magnus_pars_murus_omnis_noster_munitio,civitas_omnis_populus_habeo_magnus_res_romani
numerus,1.15362873919915e-05,0.00323009913062849,5.66305929789391e-06,0.00992122501582363,0.0219817939670204,0.0057616094862652,0.00353356890459364,0.00323888210081263,6.98406933784039e-06,0.00487694042991731,1.12066163863145e-05,4.33307479320401e-06
tantus,1.15362873919915e-05,0.00176453691165005,0.0144464642689274,7.62584551562155e-06,1.37300399544163e-05,0.00889860194702665,5.04075450013358e-06,6.46483453256014e-06,6.98406933784039e-06,8.11470953397223e-06,0.00841616890612217,0.00585398404561861
primus,1.15362873919915e-05,0.0029369866868328,0.0059518753220865,7.62584551562155e-06,0.0116842640012082,1.04566415358715e-05,0.00983451202976062,0.00259239864755662,0.00419742567204207,8.11470953397223e-06,1.12066163863145e-05,0.00173756299207481
gallus,0.00635649435298732,0.00645433601238107,0.00538556939229711,7.62584551562155e-06,0.00275973803083767,0.00733010571664593,0.00202134255455357,0.0019459151943006,6.98406933784039e-06,8.11470953397223e-06,0.00561451480954355,0.00433740786799721
flumen,0.0265449972889725,5.86224887591378e-06,5.66305929789391e-06,0.0129715632220722,1.37300399544163e-05,0.000533288718329447,0.00252541800456692,0.000976190014416581,0.00594344300650217,8.11470953397223e-06,1.12066163863145e-05,4.33307479320401e-06
do,1.15362873919915e-05,0.00176453691165005,0.00396980456782363,7.62584551562155e-06,1.37300399544163e-05,1.04566415358715e-05,0.00605394615466043,0.00388536555406864,6.98406933784039e-06,0.0170490047308757,1.12066163863145e-05,0.00238752421105541
navis,1.15362873919915e-05,5.86224887591378e-06,5.66305929789391e-06,0.00420184087910747,0.0130572679966499,0.0345173737099118,5.04075450013358e-06,0.00129943174104459,0.00175300140379794,8.11470953397223e-06,1.12066163863145e-05,4.33307479320401e-06
multitudo,0.00116516502659114,0.00381632401821987,0.00765079311145467,0.00496442543066963,1.37300399544163e-05,1.04566415358715e-05,0.00428968207961368,6.46483453256014e-06,6.98406933784039e-06,8.11470953397223e-06,0.00617484562885928,0.00390410038867681
germanus,1.15362873919915e-05,5.86224887591378e-06,5.66305929789391e-06,0.0137341477736344,1.37300399544163e-05,1.04566415358715e-05,0.00176930482954689,6.46483453256014e-06,0.00489583260582611,8.11470953397223e-06,1.12066163863145e-05,0.00932044388018182
homo,1.15362873919915e-05,0.00147142446785436,0.00651818125187589,0.00191408722442101,0.0103112600057666,0.00471594533267805,5.04075450013358e-06,6.46483453256014e-06,6.98406933784039e-06,8.11470953397223e-06,0.00281286071296493,0.00758721396290021
longus,1.15362873919915e-05,5.86224887591378e-06,0.00481926346250772,0.0110651018431669,0.0144302719920915,0.00942143402382023,0.00202134255455357,6.46483453256014e-06,6.98406933784039e-06,8.11470953397223e-06,0.00225252989364921,4.33307479320401e-06
fero,0.00404923687458902,5.86224887591378e-06,0.00396980456782363,0.0087773481884804,1.37300399544163e-05,0.00628444156305878,0.00504579525463371,6.46483453256014e-06,6.98406933784039e-06,0.00568841138331453,1.12066163863145e-05,0.00130425551275441
proficiscor,1.15362873919915e-05,0.00088519958026298,0.00170458084866607,0.00572700998223178,0.00550574602172092,1.04566415358715e-05,5.04075450013358e-06,0.0148755842594209,0.00140379793690592,0.00528267590661592,1.12066163863145e-05,4.33307479320401e-06
duo,0.0109710093097839,5.86224887591378e-06,5.66305929789391e-06,7.62584551562155e-06,0.00344624002855848,1.04566415358715e-05,5.04075450013358e-06,0.0151988259860489,0.00664184994028621,8.11470953397223e-06,1.12066163863145e-05,0.000870948033434005
recipio,1.15362873919915e-05,5.86224887591378e-06,0.00425295753271833,0.00496442543066963,1.37300399544163e-05,0.00471594533267805,0.0108426629297873,6.46483453256014e-06,6.98406933784039e-06,0.00487694042991731,1.12066163863145e-05,4.33307479320401e-06
alius,1.15362873919915e-05,5.86224887591378e-06,0.00113827491887668,7.62584551562155e-06,1.37300399544163e-05,0.00837576987023308,0.00605394615466043,0.000329706561160567,6.98406933784039e-06,0.00163105661632842,0.0112178230027008,0.00477071534731761
arma,1.15362873919915e-05,5.86224887591378e-06,5.66305929789391e-06,0.00572700998223178,1.37300399544163e-05,1.04566415358715e-05,0.00428968207961368,6.46483453256014e-06,6.98406933784039e-06,0.0105572371036979,0.00785583808680645,0.00412075412833701
relinquo,0.00231879376579029,5.86224887591378e-06,0.00453611049761302,0.000388918121296699,0.00825175401260418,1.04566415358715e-05,0.004037644354607,0.00841074972686074,0.00559423953961015,8.11470953397223e-06,1.12066163863145e-05,4.33307479320401e-06
gero,1.15362873919915e-05,0.00938546045033796,5.66305929789391e-06,7.62584551562155e-06,1.37300399544163e-05,0.00680727363985235,5.04075450013358e-06,0.00744102454697672,0.00349901873825803,8.11470953397223e-06,1.12066163863145e-05,0.00260417795071561
constituo,1.15362873919915e-05,0.00410943646201556,5.66305929789391e-06,7.62584551562155e-06,1.37300399544163e-05,1.04566415358715e-05,5.04075450013358e-06,0.00679454109372071,0.00943547767542236,0.00487694042991731,0.00281286071296493,0.00195421673173501
contendo,0.0069333087225869,5.86224887591378e-06,0.00283719270824485,0.0053457177064507,0.0041327420262793,1.04566415358715e-05,0.00151726710454021,0.00259239864755662,0.00524503607271813,8.11470953397223e-06,1.12066163863145e-05,0.00368744664901661
existimo,0.000588350656991567,0.00733367334376814,0.00991601683061223,7.62584551562155e-06,1.37300399544163e-05,0.00105612079512302,5.04075450013358e-06,0.00420860728069665,6.98406933784039e-06,8.11470953397223e-06,1.12066163863145e-05,0.00260417795071561
nullus,1.15362873919915e-05,0.00528188623719831,0.00680133421677058,7.62584551562155e-06,1.37300399544163e-05,1.04566415358715e-05,0.00252541800456692,6.46483453256014e-06,6.98406933784039e-06,0.00244252756972564,0.00505418399022783,0.00433740786799721
caesarem,1.15362873919915e-05,0.00323009913062849,5.66305929789391e-06,7.62584551562155e-06,0.00550574602172092,1.04566415358715e-05,5.04075450013358e-06,0.0019459151943006,6.98406933784039e-06,0.0182662111609715,1.12066163863145e-05,0.00347079290935641
populus,1.15362873919915e-05,5.86224887591378e-06,0.00142142788377137,7.62584551562155e-06,1.37300399544163e-05,1.04566415358715e-05,5.04075450013358e-06,6.46483453256014e-06,6.98406933784039e-06,8.11470953397223e-06,1.12066163863145e-05,0.0175532859872694
capio,1.15362873919915e-05,0.00440254890581125,0.00481926346250772,0.00115150267285885,1.37300399544163e-05,0.0036702811790909,0.00807024795471386,6.46483453256014e-06,0.00210220487068996,8.11470953397223e-06,1.12066163863145e-05,0.000654294293773805
iter,1.15362873919915e-05,5.86224887591378e-06,0.00425295753271833,0.0087773481884804,0.00756525201488336,1.04566415358715e-05,5.04075450013358e-06,0.0064712993670927,0.00489583260582611,8.11470953397223e-06,1.12066163863145e-05,4.33307479320401e-06
fuga,1.15362873919915e-05,0.00352321157442418,0.00708448718166528,7.62584551562155e-06,1.37300399544163e-05,1.04566415358715e-05,0.010338587479774,6.46483453256014e-06,6.98406933784039e-06,0.00163105661632842,1.12066163863145e-05,4.33307479320401e-06
auxilium,1.15362873919915e-05,5.86224887591378e-06,0.00283719270824485,0.00687088680957501,1.37300399544163e-05,1.04566415358715e-05,0.00428968207961368,0.00356212382744064,0.00245140833758198,0.00325399852312287,1.12066163863145e-05,0.00217087047139521
cogo,1.15362873919915e-05,5.86224887591378e-06,0.00283719270824485,0.00839605591269932,1.37300399544163e-05,0.0057616094862652,5.04075450013358e-06,0.00711778282034871,6.98406933784039e-06,8.11470953397223e-06,1.12066163863145e-05,0.00347079290935641
galliae,1.15362873919915e-05,0.005574998680994,5.66305929789391e-06,0.00267667177598316,1.37300399544163e-05,1.04566415358715e-05,5.04075450013358e-06,0.0064712993670927,6.98406933784039e-06,8.11470953397223e-06,1.12066163863145e-05,0.00737056022324001
