identifier,ام_دارم_خواهم_ندارم_شمع_آتش_عشق,حقیقت_عین_راز_یقین_جانان_اسرار_کل,غم_عشق_جهان_درد_یار_وصل_خاقانی,شاه_پیر_جهان_زانکه_حق_حال_شیخ,عقل_دین_مر_جهان_خرد_خلق_باش,دین_عالم_عقل_حق_نور_روح_علم,آدم_حق_راز_پرده_عشق_کل_نمود,عشق_جهان_ذره_عالم_عطار_گم_عقل,زلف_لب_آتش_رخ_خط_عشق_لعل,حق_دین_علم_اسرار_جهان_شوی_دان,اند_صبح_فلک_شاه_کعبه_خاقانی_آمده,شاه_داشت_افتاد_شه_جهان_بودی_بسی,بینی_عالم_چرا_باشی_بسی_زهی_جهان,ملک_جهان_فلک_عدل_دولت_آسمان_رای,عشق_گه_زن_جام_درد_مست_عاشق
urn:cts:perslit:sanaee.divans:ghgh.19,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.933527696793003,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.0588921282798834,0.000583090379008746,0.000583090379008746,0.000583090379008746
urn:cts:perslit:sanaee.divans:ghgh.1,0.000173460537727667,0.000173460537727667,0.000173460537727667,0.000173460537727667,0.442497831743278,0.182307025151778,0.000173460537727667,0.0782307025151778,0.121595836947095,0.000173460537727667,0.104249783174328,0.000173460537727667,0.000173460537727667,0.000173460537727667,0.0695576756287944
urn:cts:perslit:sanaee.divans:ghgh.200,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.985492227979275,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181
urn:cts:perslit:sanaee.divans:ghgh.201,0.000706713780918728,0.000706713780918728,0.000706713780918728,0.000706713780918728,0.813427561837456,0.000706713780918728,0.000706713780918728,0.000706713780918728,0.000706713780918728,0.000706713780918728,0.000706713780918728,0.000706713780918728,0.142049469964664,0.0360424028268551,0.000706713780918728
urn:cts:perslit:sanaee.divans:ghgh.202,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.328104575163399,0.589542483660131,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.0666666666666667,0.00130718954248366,0.00130718954248366,0.00130718954248366
urn:cts:perslit:sanaee.divans:ghgh.203,0.000174978127734033,0.000174978127734033,0.166404199475066,0.000174978127734033,0.000174978127734033,0.253893263342082,0.000174978127734033,0.000174978127734033,0.000174978127734033,0.000174978127734033,0.000174978127734033,0.0089238845144357,0.420122484689414,0.148906386701662,0.000174978127734033
urn:cts:perslit:sanaee.divans:ghgh.204,0.000619195046439629,0.0625386996904025,0.155417956656347,0.000619195046439629,0.248297213622291,0.000619195046439629,0.000619195046439629,0.000619195046439629,0.000619195046439629,0.124458204334365,0.403095975232198,0.000619195046439629,0.000619195046439629,0.000619195046439629,0.000619195046439629
urn:cts:perslit:sanaee.divans:ghgh.20,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.930054644808743,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.0557377049180328,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.00109289617486339
urn:cts:perslit:sanaee.divans:ghgh.21,0.0016260162601626,0.326829268292683,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.489430894308943,0.164227642276423,0.0016260162601626
urn:cts:perslit:sanaee.divans:ghgh.22,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.628699551569507,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.359641255605381,0.000896860986547085
urn:cts:perslit:sanaee.divans:ghgh.23,0.13202614379085,0.00130718954248366,0.850980392156863,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366
