identifier,king_war_lacedaemonians_allies_athenians_son_country,athenians_city_arms_temple_death_commons_day,hundred_infantry_heavy_ships_thousand_son_athenians,wall_athenians_town_city_sea_place_army,athenians_lacedaemonians_treaty_allies_lacedaemon_alliance_athens,sicily_war_syracusans_allies_athenians_syracuse_country,athenians_enemy_syracusans_ships_battle_army_men,war_men_good_city_present_power_country,ships_fleet_athenians_sailed_sea_peloponnesians_put,athenians_alcibiades_tissaphernes_son_envoys_lacedaemonians_government,enemy_sea_athenians_force_war_land_numbers,country_athenians_allies_territory_lacedaemonians_town_city
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.107.1,0.000899280575539568,0.000899280575539568,0.585431654676259,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.405575539568345
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.107.2,0.000860585197934596,0.000860585197934596,0.0869191049913942,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.0438898450946644,0.000860585197934596,0.000860585197934596,0.259036144578313,0.216006884681583,0.388123924268503
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.107.3,0.000523012552301255,0.000523012552301255,0.288179916317992,0.000523012552301255,0.000523012552301255,0.000523012552301255,0.471234309623431,0.000523012552301255,0.000523012552301255,0.000523012552301255,0.235878661087866,0.000523012552301255
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.107.4,0.000683994528043776,0.000683994528043776,0.000683994528043776,0.000683994528043776,0.000683994528043776,0.000683994528043776,0.547879616963064,0.000683994528043776,0.000683994528043776,0.000683994528043776,0.000683994528043776,0.445280437756498
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.108.1,0.000640204865556978,0.000640204865556978,0.000640204865556978,0.000640204865556978,0.000640204865556978,0.000640204865556978,0.704865556978233,0.000640204865556978,0.000640204865556978,0.000640204865556978,0.000640204865556978,0.288732394366197
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.108.2,0.001953125,0.001953125,0.001953125,0.001953125,0.197265625,0.001953125,0.685546875,0.001953125,0.001953125,0.001953125,0.001953125,0.099609375
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.108.3,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.885977337110482,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.106940509915014
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.109.1,0.000620347394540943,0.12468982630273,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.34181141439206,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.12468982630273,0.403846153846154
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.109.2,0.000537056928034372,0.376476906552094,0.000537056928034372,0.000537056928034372,0.000537056928034372,0.000537056928034372,0.000537056928034372,0.000537056928034372,0.000537056928034372,0.26906552094522,0.000537056928034372,0.349624060150376
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.109.3,0.00242718446601942,0.366504854368932,0.00242718446601942,0.00242718446601942,0.12378640776699,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.487864077669903
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.110.1,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.989642184557439
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.110.2,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.96474358974359,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.111.1,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.326839826839827,0.651515151515151,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.111.2,0.001953125,0.001953125,0.197265625,0.001953125,0.001953125,0.099609375,0.392578125,0.001953125,0.001953125,0.001953125,0.001953125,0.294921875
